chembl_id,name,smiles,MolLogP,QED,TPSA,NumHAcceptors,NumHDonors,MolWt,NumRotatableBonds,RingCount,FractionCSP3,HeavyAtomCount
CHEMBL201960,PYROVALERONE,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,3.4422200000000025,0.7405963972648976,20.310000000000002,2,0,245.36599999999993,5,2,0.5625,18
CHEMBL204656,ELVITEGRAVIR,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,4.281000000000002,0.5639537765926361,88.76,5,2,447.8900000000002,7,3,0.30434782608695654,31
CHEMBL203321,BRINCIDOFOVIR,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,5.250500000000005,0.1019016453714381,146.13,9,3,561.7010000000001,26,1,0.8518518518518519,38
CHEMBL383634,GLIQUIDONE,COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,3.518500000000002,0.5316095393639422,121.88,6,2,527.6430000000003,7,4,0.4444444444444444,37
CHEMBL1404,RANOLAZINE,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,2.30804,0.6398550561014078,74.27,6,2,427.5450000000002,9,3,0.4583333333333333,31
CHEMBL203266,TRIMETAZIDINE,COc1ccc(CN2CCNCC2)c(OC)c1OC,1.1176,0.8648076979782771,42.96000000000001,5,1,266.34099999999995,5,2,0.5714285714285714,19
CHEMBL206253,NETUPITANT,Cc1ccccc1-c1cc(N2CCN(C)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,6.787020000000006,0.312950179516564,39.68,4,0,578.6010000000003,5,4,0.4,41
CHEMBL1405,ESTRONE,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,3.817400000000002,0.7778844237760111,37.3,2,1,270.37199999999996,0,4,0.6111111111111112,20
CHEMBL205596,CHOLIC ACID,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,3.4487000000000023,0.571136456131648,97.99000000000001,4,4,408.5790000000002,4,4,0.9583333333333334,29
CHEMBL1409,FLUVOXAMINE MALEATE,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O,2.9133000000000004,0.21116128594778608,131.44,6,3,434.4110000000001,11,1,0.42105263157894735,30
CHEMBL1410,NONOXYNOL 9,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,4.483600000000006,0.10984235529600771,103.30000000000003,10,1,616.8330000000004,35,1,0.8181818181818182,43
CHEMBL427216,GLICLAZIDE,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,1.6298199999999994,0.8860379615947155,78.50999999999999,4,2,323.4180000000001,3,3,0.5333333333333333,22
CHEMBL383675,TEMOPORFIN,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc2CC4)C=C3)c1,9.760799999999996,0.10945391839291758,138.28000000000003,6,6,680.764,4,9,0.045454545454545456,52
CHEMBL207538,BREXANOLONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4.595200000000005,0.7672110598231308,37.3,2,1,318.5010000000001,1,4,0.9523809523809523,23
CHEMBL379845,METHYL NICOTINATE,COC(=O)c1cccnc1,0.8681999999999999,0.5388895828087218,39.19,3,0,137.138,1,1,0.14285714285714285,10
CHEMBL211456,EPHEDRINE,CN[C@@H](C)[C@H](O)c1ccccc1,1.3278999999999999,0.7078187228911748,32.26,2,2,165.236,3,1,0.4,12
CHEMBL1412,PIPERAZINE,C1CNCCN1,-0.8208,0.4022372466625182,24.06,2,2,86.138,0,1,1.0,6
CHEMBL1413,CICLOPIROX,Cc1cc(C2CCCCC2)n(O)c(=O)c1,2.4417199999999992,0.7185665096760774,42.230000000000004,3,1,207.273,1,2,0.5833333333333334,15
CHEMBL443052,TAVABOROLE,OB1OCc2cc(F)ccc21,0.043399999999999994,0.5315735345293469,29.46,2,1,151.933,0,2,0.14285714285714285,11
CHEMBL211471,NEOSTIGMINE METHYLSULFATE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.COS(=O)(=O)[O-],1.0367000000000002,0.4653768532502722,95.97,6,0,334.394,3,1,0.46153846153846156,22
CHEMBL215645,RIVASTIGMINE TARTRATE,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1.O=C(O)C(O)C(O)C(=O)O,0.6371000000000009,0.5171714738662352,147.84,7,4,400.4280000000001,7,1,0.5,28
CHEMBL378544,VINBLASTINE SULFATE,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,3.3381000000000043,0.0991538527409466,228.7,14,5,909.068,7,9,0.5869565217391305,64
CHEMBL1419,SIBUTRAMINE,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,4.738000000000005,0.7525599819436475,3.24,1,0,279.8550000000001,5,2,0.6470588235294118,19
CHEMBL1420,PRALIDOXIME,C[n+]1ccccc1C=NO,0.3191999999999999,0.2571575036828201,36.47,2,1,137.162,1,1,0.14285714285714285,10
CHEMBL218394,BOCEPREVIR,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,1.7112000000000023,0.36005526389778836,150.70000000000002,5,4,519.6870000000004,8,3,0.8148148148148148,37
CHEMBL385517,SAXAGLIPTIN ANHYDROUS,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,1.157979999999999,0.7998067802808753,90.35000000000001,4,2,315.4170000000001,2,6,0.8888888888888888,23
CHEMBL1421,DASATINIB,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,3.3135400000000015,0.4657173060978848,106.50999999999999,9,3,488.01700000000034,7,4,0.36363636363636365,33
CHEMBL1422,SITAGLIPTIN,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,2.0164999999999997,0.6216377742511342,77.04,5,1,407.31800000000015,4,3,0.4375,28
CHEMBL1423,PIMOZIDE,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.8570000000000055,0.37471274722994996,41.03,3,1,461.5560000000001,7,5,0.32142857142857145,34
CHEMBL386630,TESTOSTERONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,3.879200000000003,0.7342296115534325,37.3,2,1,288.431,0,4,0.8421052631578947,21
CHEMBL1425,MERCAPTOPURINE ANHYDROUS,Sc1ncnc2nc[nH]c12,0.6416,0.43001493268881763,54.46,4,2,152.182,0,2,0.0,10
CHEMBL219916,DOMPERIDONE,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,3.353200000000002,0.514301695573136,78.82,5,2,425.92000000000013,5,5,0.36363636363636365,30
CHEMBL181,DIAZOXIDE,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,1.6818,0.7373478458184286,58.53,3,1,230.676,0,2,0.125,14
CHEMBL374478,RIFAMPIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,4.335420000000004,0.10948484473140657,220.14999999999995,15,6,822.9530000000003,4,6,0.5348837209302325,59
CHEMBL218650,DELAMANID,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,4.967800000000004,0.2951204363925523,101.12,9,0,534.4910000000002,8,5,0.4,38
CHEMBL1428,NIMODIPINE,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,2.9708000000000014,0.2963419520142686,117.0,8,1,418.44600000000014,8,2,0.42857142857142855,30
CHEMBL384467,DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.8957000000000002,0.667213496992105,94.83,5,3,392.4670000000002,2,4,0.7272727272727273,28
CHEMBL182,GANCICLOVIR,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,-1.970899999999999,0.4854930576221492,139.28,8,4,255.23399999999998,5,2,0.4444444444444444,18
CHEMBL184,ACYCLOVIR,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,-1.3318000000000003,0.554385971786765,119.04999999999998,7,3,225.20799999999997,4,2,0.375,16
CHEMBL374731,TELBIVUDINE,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,-1.5142799999999992,0.5842742137821719,104.54999999999998,6,3,242.23099999999997,2,2,0.6,17
CHEMBL218490,DORZOLAMIDE,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.612,0.8471269771691101,106.32999999999998,6,2,324.44900000000007,3,2,0.6,19
CHEMBL220491,BRINZOLAMIDE,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.08690000000000164,0.6441091760572242,118.79999999999998,7,2,383.5170000000001,7,2,0.6666666666666666,23
